company_name,company_domain,company_category
VISTEON TECHNICAL AND SERVICES CENTRE PRIVATE LIMITED,visteon.com,CAT A
SIEMENS HEALTHCARE PRIVATE LIMITED,siemens-healthineers.com/en-in,CAT A
GROZ ENGINEERING TOOLS PRIVATE LIMITED,groz-tools.com,CAT A
GOODRICH AEROSPACE SERVICES PRIVATE LIMITED,collinsaerospace.com,CAT A
ORISSA METALIKS PRIVATE LIMITED,orissametaliks.com,CAT A
AFCONS INFRASTRUCTURE LIMITED,afcons.com,CAT A
ALEMBIC LIMITED,alembicpharmaceuticals.com,CAT A
K L J POLYMERS AND CHEMICALS LIMITED,kljindia.com,CAT A
BLUE CROSS LABORATORIES PRIVATE LIMITED,bluecrosslabs.com,CAT A
PLANETCAST MEDIA SERVICES LIMITED,esselshyam.net,CAT A
DHARAMPAL SATYAPAL LIMITED,dsgroup.com,CAT A
HEUBACH COLOUR PRIVATE LIMITED,heubach-india.com,CAT A
MERCK SPECIALITIES PRIVATE LIMITED,merck.co.in/en/company/merck_specialities_pvt_ltd/merck_specialities_pvt_ltd.html,CAT A
T STANES AND COMPANY LIMITED,tstanes.com,CAT A
VARDHMAN YARNS AND THREADS LIMITED,vardhmanthreads.com,CAT A
INDIAN CLEARING CORPORATION LIMITED,icclindia.com,CAT A
WELSPUN GLOBAL BRANDS LIMITED,welspun.com,CAT A
INDUSTRIAL SOLVENTS AND CHEMICALS PRIVATE LIMITED,iscpl.com,CAT A
NOIDA POWER COMPANY LIMITED,noidapower.com,CAT A
NSEIT LIMITED,nseit.com,CAT A
BRAHMOS AEROSPACE PRIVATE LIMITED,brahmos.com,CAT A
NATWEST DIGITAL SERVICES INDIA PRIVATE LIMITED,e-secudit.com,CAT A
ADDISON & CO. LIMITED,addison.co.in,CAT A
BENNETT COLEMAN AND COMPANY LIMITED,bccl.in,CAT A
COMPUTER SCIENCES CORPORATION INDIA PRIVATE LIMITED,csc.com,CAT A
TABLETS (INDIA) LTD,tabletsindia.com,CAT A
PRAMA HIKVISION INDIA PRIVATE LIMITED,hikvisionindia.co.in,CAT A
LOUIS DREYFUS COMPANY INDIA PRIVATE LIMITED,ldcom.com,CAT A
COMVIVA TECHNOLOGIES LIMITED,mahindracomviva.com,CAT A
MOHAN CLOTHING COMPANY PRIVATE LIMITED,vsnl.com,CAT A
SYNCHRONY INTERNATIONAL SERVICES PRIVATE LIMITED,synchronycareers.com,CAT A
PIPELINE INFRASTRUCTURE LIMITED,pipelineinfra.com,CAT A
GMMCO LTD,gmmco.in,CAT A
APNATIME TECH PRIVATE LIMITED,apna.co,CAT A
ACHINTYA SECURITIES PRIVATE LIMITED,achintya.co.in,CAT A
AVANEETHA TEXTILES PRIVATE LIMITED,avaneetha.com,CAT A
ASSAM POWER GENERATION CORPORATION LIMITED,apgcl.org,CAT A
ASSAM ROOFING LIMITED,assamroof.com,CAT A
ADEPT CHIP SERVICES PRIVATE LIMITED,adeptchips.com,CAT A
AAPT OUTSOURCING SOLUTIONS PRIVATE LIMITED,myndsol.com,CAT A
